127.0.0.1 - - [23/Nov/2020:15:54:39 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Nov/2020:15:54:42 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [23/Nov/2020:15:54:42 +0200] "GET /Noutaja/css/style.css HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [23/Nov/2020:15:54:42 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Nov/2020:15:57:57 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2368
0:0:0:0:0:0:0:1 - - [23/Nov/2020:15:57:57 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Nov/2020:15:57:57 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [23/Nov/2020:15:58:38 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2389
0:0:0:0:0:0:0:1 - - [23/Nov/2020:15:58:38 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [23/Nov/2020:15:59:56 +0200] "GET /Noutaja/asiakkaat HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:01:20 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2388
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:05:57 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2389
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:05:57 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:06:17 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2389
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:06:17 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:06:55 +0200] "GET /Noutaja/lisaaAsiakas.jsp HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:06:55 +0200] "GET /Noutaja/scripts/main.js HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:07:30 +0200] "POST /Noutaja/asiakkaat HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:07:33 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2389
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:07:33 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:07:45 +0200] "DELETE /Noutaja/asiakkaat/7 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:11:03 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2389
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:11:03 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:11:09 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:12:15 +0200] "GET /Noutaja/lisaaAsiakas.jsp HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:12:32 +0200] "POST /Noutaja/asiakkaat HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:12:34 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2396
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:13:43 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:14:28 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2398
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:14:49 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:14:49 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:14:54 +0200] "DELETE /Noutaja/asiakkaat/8 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:16:22 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:16:23 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:16:26 +0200] "GET /Noutaja/lisaaAsiakas.jsp HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:16:42 +0200] "POST /Noutaja/asiakkaat HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:18:05 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:18:05 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:18:10 +0200] "DELETE /Noutaja/asiakkaat/9 HTTP/1.1" 200 16
