127.0.0.1 - - [04/Dec/2020:14:39:04 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Dec/2020:14:39:05 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2536
0:0:0:0:0:0:0:1 - - [04/Dec/2020:14:39:05 +0200] "GET /Noutaja/css/style.css HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [04/Dec/2020:14:39:06 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [04/Dec/2020:14:46:16 +0200] "GET /Noutaja/muutaasiakas.jsp?asiakas_id=11 HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [04/Dec/2020:14:46:16 +0200] "GET /Noutaja/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:14:46:16 +0200] "GET /Noutaja/asiakkaat/getone/11 HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [04/Dec/2020:14:46:25 +0200] "PUT /Noutaja/asiakkaat HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [04/Dec/2020:14:46:31 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2536
0:0:0:0:0:0:0:1 - - [04/Dec/2020:14:46:31 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [04/Dec/2020:14:54:27 +0200] "GET /Noutaja/muutaasiakas.jsp?asiakas_id=11 HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [04/Dec/2020:14:54:27 +0200] "GET /Noutaja/asiakkaat/getone/11 HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [04/Dec/2020:14:54:51 +0200] "PUT /Noutaja/asiakkaat HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [04/Dec/2020:14:55:11 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2536
